#SELECT ID, post_parent, post_mime_type, guid INTO OUTFILE '/tmp/result.txt' FROM wp_posts WHERE post_mime_type != '' and post_parent != ''
1239	344	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe3-.pdf
1240	349	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe4.pdf
1241	389	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe5.pdf
1242	394	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe6.pdf
1243	397	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe7.pdf
1244	400	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe8.pdf
1245	354	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe9.pdf
1246	407	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe10.pdf
1247	404	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe11.pdf
1248	412	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe12.pdf
1249	415	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe13.pdf
1250	424	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe14.pdf
1251	419	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe15.pdf
1252	429	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2003-ReglementMinierAnnexe16.pdf
1253	750	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2004-DecretZoneInterditeShinkolobwe.pdf
1254	806	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2004-LoiModifiantLoiRelativeImpotReel.pdf
1256	789	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2005-DecretApprobationConventionDCP.pdf
1257	791	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2005-DecretApprobationConventionKCC.pdf
1258	764	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2005-DecretCreationDCP.pdf
1259	767	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2005-DecretCreationKCC.pdf
1260	770	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2005-DecretModificationStatutsTFM.pdf
1261	738	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2007-ArreteCommissionRevisitationContratsMiniers.pdf
1262	741	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2007-ArreteEntitesTraitementOuTransformation.pdf
1263	744	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2007-ArreteLaboratoiresDanalyseProduitsMiniers.pdf
1264	814	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2007-OrdonnanceCreationComiteNationalITIE.pdf
1265	793	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2008-DecretBureauSuiviSinoCongolais.pdf
1266	808	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2008-LoiSejourEtrangersZonesMinieres.pdf
1267	810	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2008-ModificationStatutsTFM.pdf
1268	812	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2008-OrdonnanceAutorisantCreationSICOMINES.pdf
1270	779	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2009-ListeEntreprisesPubliquesTransformees.pdf
1271	776	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2009-MesuresTransitoiresEntreprisesPubliques.pdf
1272	785	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/GOVRDC-2011-DecretPublicationContrats.pdf
1644	1156	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/30-BossMining-2005-StatutsShaford-Gecamines.pdf
4419	163	application/pdf	http://www.congomines.org/wp-content/uploads/2011/10/WB-2008-Growth-With-Governance-in-DRC-Cln.pdf
